Player Name,Season,Team,do_or_die,high_5s,raid_points,raidpoints,successful_raids,successful_tackles,super_10s,super_raids,super_takels,tackle_points,total_points
G.S. Manikandan,3,Dabang Delhi K.C.,0,0,0,0,0,1,0,0,0,0,1
Gangadhari Mallesh,1,Jaipur Pink Panthers,1,0,1,13,10,3,0,0,0,0,16
Gangadhari Mallesh,2,Jaipur Pink Panthers,3,0,0,3,2,6,0,0,2,0,11
Gangadhari Mallesh,3,Jaipur Pink Panthers,1,0,0,1,1,8,0,0,1,0,10
Gangadhari Mallesh,6,Jaipur Pink Panthers,1,0,0,2,1,1,0,0,1,0,4
Gaurav Kumar,6,U Mumba,0,0,0,2,2,0,0,0,0,0,2
Girish Maruti Ernak,1,Patna Pirates,0,1,0,2,2,22,0,0,1,1,25
Girish Maruti Ernak,2,Patna Pirates,0,1,0,0,0,26,0,0,1,2,27
Girish Maruti Ernak,3,Bengal Warriors,0,3,0,1,0,33,0,0,0,3,34
Girish Maruti Ernak,4,Bengal Warriors,0,1,0,0,0,23,0,0,2,2,25
Girish Maruti Ernak,5,Puneri Paltan,1,5,0,5,1,61,0,1,3,3,69
Girish Maruti Ernak,6,Puneri Paltan,0,4,0,1,0,52,0,0,4,2,57
Girish Maruti Ernak,7,Puneri Paltan,0,1,0,0,0,19,0,0,3,2,22
Gnanasekaran M,3,Dabang Delhi K.C.,0,0,1,5,3,1,0,0,1,0,7
Gokul Shitole,1,Jaipur Pink Panthers,0,0,0,0,0,2,0,0,0,0,2
Gulveer Singh,5,U.P. Yoddha,0,0,0,3,1,0,0,0,0,0,3
Gurchet Singh,1,Bengaluru Bulls,0,0,0,1,1,3,0,0,0,0,4
Gurpreet Singh,1,Bengaluru Bulls,1,1,0,2,1,24,0,0,1,1,27
Gurpreet Singh,2,Bengaluru Bulls,0,0,0,0,0,1,0,0,0,0,1
Gurvinder Singh,1,"Bengaluru Bulls, Patna Pirates",3,0,1,9,6,3,0,0,1,0,13
Gurvinder Singh,2,Patna Pirates,19,0,2,44,34,5,1,1,0,0,49
Gurvinder Singh,3,Patna Pirates,1,0,0,4,2,2,0,0,0,0,6
Gurvinder Singh,4,"Bengaluru Bulls, U Mumba",2,0,0,4,4,0,0,0,0,0,4
Gurvinder Singh,5,Bengaluru Bulls,5,0,1,17,10,5,0,1,0,0,5
Gurvinder Singh,7,Gujarat Fortunegiants,0,0,2,4,3,0,0,0,0,0,4
Hadi Oshtorak,2,Telugu Titans,0,1,0,0,0,6,0,0,1,1,7
Hadi Oshtorak,3,Patna Pirates,0,0,0,0,0,17,0,0,1,1,18
Hadi Oshtorak,4,Patna Pirates,0,1,0,1,0,9,0,0,3,1,13
Hadi Oshtorak,5,U Mumba,0,0,0,0,0,17,0,0,3,1,20
Hadi Oshtorak,6,Gujarat Fortunegiants,3,0,1,6,4,12,0,0,0,0,18
Hadi Oshtorak,7,Patna Pirates,0,1,0,3,1,22,0,0,6,1,31
Hadi Tajik,4,Dabang Delhi K.C.,0,0,0,0,0,1,0,0,0,0,1
Hadi Tajik,5,U.P. Yoddha,1,0,0,4,2,5,0,0,0,0,9
Hadi Tajik,6,U Mumba,0,0,0,0,0,0,0,0,0,0,0
Hadi Tajik,7,Puneri Paltan,0,0,0,1,1,8,0,0,1,1,10
Hardeep Duhan,3,Bengaluru Bulls,0,0,0,0,0,1,0,0,0,0,1
Harendra Kumar,7,U Mumba,0,1,0,0,0,12,0,0,1,1,13
Harish Naik,5,Bengaluru Bulls,6,0,1,24,20,0,1,0,0,0,24
Harish Naik,6,Bengaluru Bulls,0,0,3,21,14,0,0,0,0,0,21
Harmanjit Singh,7,Gujarat Fortunegiants,0,0,2,4,4,0,0,0,0,0,4
Harvinder Singh,2,Puneri Paltan,0,0,0,0,0,7,0,0,1,2,8
Hyunil Park,2,Telugu Titans,0,0,0,2,1,1,0,0,0,0,3
Inderpal Bishnoi,2,Dabang Delhi K.C.,0,0,0,1,1,0,0,0,0,0,1
Isac Antony,2,Telugu Titans,1,0,1,10,9,4,0,0,0,0,14
Isac Antony,3,Telugu Titans,1,0,0,1,1,0,0,0,0,0,1
Jadhav Balasaheb Shahaji,7,Puneri Paltan,0,1,0,0,0,18,0,0,3,1,21
Jagdeesha K.K.,3,Jaipur Pink Panthers,0,0,0,0,0,5,0,0,0,0,5
Jaideep,5,Patna Pirates,0,5,0,0,0,66,0,0,5,2,71
Jaideep,6,Patna Pirates,0,4,0,0,0,56,0,0,2,2,58
Jaideep,7,Patna Pirates,0,3,0,0,0,38,0,0,3,2,41
Jang Kun Lee,1,Bengal Warriors,10,0,5,55,39,2,2,5,0,0,57
Jang Kun Lee,2,Bengal Warriors,15,0,3,48,36,2,1,3,0,0,50
Jang Kun Lee,3,Bengal Warriors,33,0,5,79,64,9,2,2,2,0,90
Jang Kun Lee,4,Bengal Warriors,13,0,5,61,49,4,2,0,0,0,65
Jang Kun Lee,5,Bengal Warriors,8,0,4,89,80,0,0,0,0,0,89
Jang Kun Lee,6,Bengal Warriors,7,0,4,79,61,2,2,2,1,0,82
Jang Kun Lee,7,Patna Pirates,9,0,2,25,22,1,0,0,0,0,26
Jasmer Singh Gulia,1,"Bengaluru Bulls, Dabang Delhi K.C.",2,0,0,7,7,36,0,0,2,2,45
Jasmer Singh Gulia,2,Dabang Delhi K.C.,0,0,0,0,0,2,0,0,0,0,2
Jasmer Singh Gulia,3,Puneri Paltan,0,4,0,0,0,41,0,0,5,2,46
Jasmer Singh Gulia,4,"Bengaluru Bulls, Telugu Titans",0,1,0,0,0,19,0,0,0,1,19
Jasmer Singh Gulia,6,Bengaluru Bulls,0,0,0,0,0,4,0,0,0,0,4
Jasvir Singh,1,Jaipur Pink Panthers,9,0,7,106,83,6,2,2,1,0,113
Jasvir Singh,2,Jaipur Pink Panthers,7,0,4,64,52,8,0,0,2,0,74
Jasvir Singh,3,Jaipur Pink Panthers,12,0,6,25,15,0,1,2,0,0,25
Jasvir Singh,4,Jaipur Pink Panthers,17,0,5,82,64,4,2,0,2,0,88
Jasvir Singh,5,Jaipur Pink Panthers,14,0,4,61,49,3,2,3,2,0,66
Jasvir Singh,6,Tamil Thalaivas,2,0,2,42,32,4,0,0,0,0,46
Jawahar Dagar,4,Jaipur Pink Panthers,0,0,0,0,0,2,0,0,0,0,2
Jawahar Dagar,5,Patna Pirates,1,0,0,6,3,26,0,0,3,1,35
Jawahar Dagar,6,Patna Pirates,0,2,0,3,1,17,0,0,3,1,23
Jawahar Dagar,7,Patna Pirates,0,0,0,0,0,4,0,0,0,0,4
Jay Bahadur Bohara,3,Dabang Delhi K.C.,2,0,0,2,1,0,0,0,0,0,2
Jeeva Gopal,1,U Mumba,0,0,0,0,0,6,0,0,0,0,6
Jeeva Gopal,2,U Mumba,0,0,0,0,0,1,0,0,0,0,1
Jeeva Gopal,4,Bengaluru Bulls,0,0,0,0,0,0,0,0,0,0,0
Jeeva Gopal,5,Haryana Steelers,0,0,0,0,0,3,0,0,2,0,5
Jeeva Kumar,1,U Mumba,0,0,0,0,0,16,0,0,0,1,16
Jeeva Kumar,2,U Mumba,0,3,0,1,1,31,0,0,7,2,39
Jeeva Kumar,3,U Mumba,0,0,0,0,0,30,0,0,1,1,31
Jeeva Kumar,4,U Mumba,0,0,0,0,0,24,0,0,2,1,26
